Model: mistralai_Mistral-7B-v0.1  r_cap=4  W=4096  scheme=bitmap+mantissa-borrow
layer                                                        numel   saved%   loss_ct   loss%   SNR(dB)  rms_norm%
model.layers.31.mlp.gate_proj.weight                    58,720,256   18.74%     3,987  0.007%     70.86    0.0286%
model.layers.31.mlp.up_proj.weight                      58,720,256   18.74%     3,680  0.006%     71.16    0.0277%
model.layers.31.post_attention_layernorm.weight              4,096   18.74%         0  0.000%       inf    0.0000%
model.layers.31.self_attn.k_proj.weight                  4,194,304   18.74%       402  0.010%     60.54    0.0940%
model.layers.31.self_attn.o_proj.weight                 16,777,216   18.74%     1,309  0.008%     64.76    0.0578%
model.layers.31.self_attn.q_proj.weight                 16,777,216   18.74%     1,371  0.008%     64.88    0.0570%
model.layers.31.self_attn.v_proj.weight                  4,194,304   18.74%       360  0.009%     66.49    0.0474%
model.norm.weight                                            4,096   18.74%         1  0.024%    119.08    0.0001%
------------------------------------------------------------------------------------------------------------------
TOTAL                                                   7,241,732,096   18.74%   829,440  0.011%
